Date,Open,High,Low,Close,Volume,Adj Close
20140427  21:00:00,1516.25,1516.75,1515.75,1516.0,33,1516.225
20140427  22:00:00,1516.0,1517.5,1516.0,1517.5,9,1516.8
20140427  23:00:00,1517.0,1517.25,1515.0,1516.25,68,1516.125
20140428  00:00:00,1516.75,1516.75,1514.75,1516.75,102,1516.175
20140428  01:00:00,1516.5,1519.25,1516.5,1517.0,122,1517.6
20140428  02:00:00,1517.25,1518.0,1516.75,1517.0,54,1517.35
20140428  03:00:00,1517.5,1519.5,1516.0,1516.75,61,1517.15
20140428  04:00:00,1516.25,1516.25,1513.0,1516.25,148,1514.5
20140428  05:00:00,1516.0,1520.5,1516.0,1516.75,413,1518.525
20140428  06:30:00,1517.0,1518.25,1511.0,1513.75,1616,1514.225
20140428  07:00:00,1513.75,1517.75,1501.75,1504.75,1937,1508.9
20140428  08:00:00,1503.0,1509.0,1499.25,1506.0,1606,1504.675
20140428  09:00:00,1506.25,1506.75,1503.0,1505.75,1015,1504.9
20140428  10:00:00,1505.75,1511.0,1504.5,1509.75,886,1508.05
20140428  11:00:00,1510.0,1510.75,1506.5,1506.5,1646,1508.425
20140428  17:00:00,1508.25,1513.25,1503.75,1504.75,87,1508.45
20140428  18:00:00,1505.25,1506.0,1504.0,1506.0,70,1505.275
20140428  19:00:00,1506.75,1507.25,1506.5,1507.0,17,1506.85
20140428  20:00:00,1505.5,1507.0,1504.0,1506.75,7,1505.675
20140428  21:00:00,1506.25,1506.75,1506.25,1506.75,9,1506.45
20140428  22:00:00,1506.75,1506.75,1504.75,1504.75,16,1506.1
20140428  23:00:00,1505.5,1507.0,1505.25,1507.0,7,1505.675
20140429  00:00:00,1508.75,1510.5,1507.75,1507.75,15,1509.025
20140429  01:00:00,1507.75,1509.0,1507.75,1509.0,17,1508.475
20140429  02:00:00,1508.0,1508.0,1507.25,1508.0,43,1507.825
20140429  03:00:00,1507.75,1510.0,1507.75,1508.5,25,1509.125
20140429  04:00:00,1510.25,1511.0,1509.75,1510.5,30,1510.575
20140429  05:00:00,1510.5,1510.5,1508.75,1509.5,65,1509.55
20140429  06:30:00,1509.0,1517.25,1509.0,1512.0,1126,1513.7
20140429  07:00:00,1513.5,1518.0,1509.75,1516.25,1109,1513.225
20140429  08:00:00,1516.75,1521.25,1516.0,1518.25,1326,1518.625
20140429  09:00:00,1518.0,1524.0,1518.0,1523.5,1512,1520.875
20140429  10:00:00,1523.5,1527.5,1523.0,1525.5,1652,1525.075
20140429  11:00:00,1525.5,1527.0,1522.5,1522.5,1164,1524.9
20140429  17:00:00,1525.0,1528.0,1525.0,1527.5,52,1526.475
20140429  18:00:00,1524.5,1525.25,1524.0,1525.25,10,1524.55
20140429  19:00:00,1525.0,1525.75,1520.0,1520.0,28,1524.225
20140429  20:00:00,1520.0,1520.0,1520.0,1520.0,0,1520.0
20140429  21:00:00,1521.0,1521.0,1521.0,1521.0,2,1521.0
20140429  22:00:00,1518.25,1519.0,1518.25,1518.75,3,1518.675
20140429  23:00:00,1524.0,1524.0,1524.0,1524.0,1,1524.0
20140430  00:00:00,1524.25,1524.5,1523.0,1523.25,23,1523.775
20140430  01:00:00,1522.0,1522.0,1522.0,1522.0,14,1522.0
